alphanumiso;material_id;year;factor;source
LAO418;Me.Ag;2018;10651.221148302871;based on S&P Global mining data and price-based allocation of ore
LAO418;Me.Ag;2019;10746.463188485115;based on S&P Global mining data and price-based allocation of ore
LAO418;Me.Ag;2020;10795.866813606384;based on S&P Global mining data and price-based allocation of ore
MAR504;Me.Ag;2016;2754.644732498802;based on S&P Global mining data and price-based allocation of ore
MAR504;Me.Ag;2017;2763.064369257627;based on S&P Global mining data and price-based allocation of ore
MAR504;Me.Ag;2018;2771.710543328348;based on S&P Global mining data and price-based allocation of ore
MAR504;Me.Ag;2019;2778.7709562157934;based on S&P Global mining data and price-based allocation of ore
MAR504;Me.Ag;2020;2782.4333094247886;based on S&P Global mining data and price-based allocation of ore
MEX484;Me.Ag;2016;6451.944289646904;based on S&P Global mining data and price-based allocation of ore
MEX484;Me.Ag;2017;6447.768346015319;based on S&P Global mining data and price-based allocation of ore
MEX484;Me.Ag;2018;6443.4800451559795;based on S&P Global mining data and price-based allocation of ore
MEX484;Me.Ag;2019;6439.978244890928;based on S&P Global mining data and price-based allocation of ore
MEX484;Me.Ag;2020;6438.161803042212;based on S&P Global mining data and price-based allocation of ore
MKD807;Me.Ag;2016;5970.418371802235;based on S&P Global mining data and price-based allocation of ore
MKD807;Me.Ag;2017;5970.41842416765;based on S&P Global mining data and price-based allocation of ore
MKD807;Me.Ag;2018;5970.418477941999;based on S&P Global mining data and price-based allocation of ore
MKD807;Me.Ag;2019;5970.418521853804;based on S&P Global mining data and price-based allocation of ore
MKD807;Me.Ag;2020;5970.418544631585;based on S&P Global mining data and price-based allocation of ore
MLI466;Me.Ag;2016;5438.0872182408175;based on S&P Global mining data and price-based allocation of ore
MLI466;Me.Ag;2017;5443.702426749116;based on S&P Global mining data and price-based allocation of ore
MLI466;Me.Ag;2018;5449.468717100688;based on S&P Global mining data and price-based allocation of ore
MLI466;Me.Ag;2019;5454.17743454935;based on S&P Global mining data and price-based allocation of ore
MLI466;Me.Ag;2020;5456.6199243489245;based on S&P Global mining data and price-based allocation of ore
MNG496;Me.Ag;2016;16389.383223800298;based on S&P Global mining data and price-based allocation of ore
MNG496;Me.Ag;2017;16387.202316656167;based on S&P Global mining data and price-based allocation of ore
MNG496;Me.Ag;2018;16384.962730396048;based on S&P Global mining data and price-based allocation of ore
MNG496;Me.Ag;2019;16383.13389794783;based on S&P Global mining data and price-based allocation of ore
MNG496;Me.Ag;2020;16382.185252239393;based on S&P Global mining data and price-based allocation of ore
MYS458;Me.Ag;2016;20888.431656512734;based on S&P Global mining data and price-based allocation of ore
MYS458;Me.Ag;2017;20942.43517316315;based on S&P Global mining data and price-based allocation of ore
MYS458;Me.Ag;2018;20997.89169923017;based on S&P Global mining data and price-based allocation of ore
MYS458;Me.Ag;2019;21043.177159380968;based on S&P Global mining data and price-based allocation of ore
MYS458;Me.Ag;2020;21066.667478282714;based on S&P Global mining data and price-based allocation of ore
NAM516;Me.Ag;2016;2586.3753053808423;based on S&P Global mining data and price-based allocation of ore
NAM516;Me.Ag;2017;2587.484917213852;based on S&P Global mining data and price-based allocation of ore
NAM516;Me.Ag;2018;2588.624384073759;based on S&P Global mining data and price-based allocation of ore
NAM516;Me.Ag;2019;2589.5548657453855;based on S&P Global mining data and price-based allocation of ore
NAM516;Me.Ag;2020;2590.0375220135556;based on S&P Global mining data and price-based allocation of ore
NER562;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NER562;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NER562;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NER562;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NER562;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NIC558;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NIC558;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NIC558;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NIC558;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NIC558;Me.Ag;2020;7434.646330931024;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
NZL554;Me.Ag;2016;5865.099308397586;based on S&P Global mining data and price-based allocation of ore
NZL554;Me.Ag;2017;5856.208169007299;based on S&P Global mining data and price-based allocation of ore
NZL554;Me.Ag;2018;5847.077806135657;based on S&P Global mining data and price-based allocation of ore
NZL554;Me.Ag;2019;5839.622007633487;based on S&P Global mining data and price-based allocation of ore
NZL554;Me.Ag;2020;5835.754561351612;based on S&P Global mining data and price-based allocation of ore
OMN512;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
OMN512;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PAK586;Me.Ag;2016;7383.116871659255;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PAK586;Me.Ag;2017;7398.729737715783;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PAK586;Me.Ag;2018;7414.7626808859395;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PAK586;Me.Ag;2019;7427.855084260696;global average based on S&P Global / FINEPRINT mining data and price-based allocation of ore
PAN591;Me.Ag;2016;20945.32318027774;based on S&P Global mining data and price-based allocation of ore
PAN591;Me.Ag;2017;20945.323180277745;based on S&P Global mining data and price-based allocation of ore
PAN591;Me.Ag;2018;20945.323180277745;based on S&P Global mining data and price-based allocation of ore
PAN591;Me.Ag;2019;20945.323180277745;based on S&P Global mining data and price-based allocation of ore
PAN591;Me.Ag;2020;20945.32318027774;based on S&P Global mining data and price-based allocation of ore
PER604;Me.Ag;2016;4961.537575288857;based on S&P Global mining data and price-based allocation of ore
PER604;Me.Ag;2017;4965.263188685454;based on S&P Global mining data and price-based allocation of ore
PER604;Me.Ag;2018;4969.089042801243;based on S&P Global mining data and price-based allocation of ore
PER604;Me.Ag;2019;4972.213211882694;based on S&P Global mining data and price-based allocation of ore
PER604;Me.Ag;2020;4973.833770176281;based on S&P Global mining data and price-based allocation of ore
PHL608;Me.Ag;2016;10975.596925493217;based on S&P Global mining data and price-based allocation of ore
PHL608;Me.Ag;2017;10888.953462456646;based on S&P Global mining data and price-based allocation of ore
PHL608;Me.Ag;2018;10799.978785167967;based on S&P Global mining data and price-based allocation of ore
PHL608;Me.Ag;2019;10727.322607644022;based on S&P Global mining data and price-based allocation of ore
PHL608;Me.Ag;2020;10689.634643901656;based on S&P Global mining data and price-based allocation of ore
PNG598;Me.Ag;2016;9444.657210551162;based on S&P Global mining data and price-based allocation of ore
PNG598;Me.Ag;2017;9450.127440489627;based on S&P Global mining data and price-based allocation of ore
