alphanumiso;country;material_id;material_name;unit_id;source_all;2016;2017;2018;2019;2020
BOL068;Bolivia;M.bor;Borate minerals;t;wmd;182685;208388;216403;214269;
BOL068;Bolivia;Me.Cu;Copper;t;wmd;8718;7219;5216;4478;2822
BOL068;Bolivia;O.Fe;Ferrous ore;t;bgs;22;38330;71662;56500;26576
BOL068;Bolivia;Me.Au;Gold;Kg;wmd;22545;28726;31599;42000;23207
BOL068;Bolivia;M.gya;Gypsum and anhydrite;t;wmd;1182;473;1136;3905;14996
BOL068;Bolivia;Me.Pb;Lead;t;wmd;89906;113286;112140;88002;64619
BOL068;Bolivia;O.Li;Lithium ore;t;bgs;162;60;230;400;191
BOL068;Bolivia;O.Mn;Manganese ore;t;bgs;0;0;550;17100;17000
BOL068;Bolivia;Me.K2O;Potassium oxide;t;wmd;;;1700;17800;4400
BOL068;Bolivia;M.sal;Salt nec;t;wmd;4534;3358;5373;4494;
BOL068;Bolivia;Me.Ag;Silver;Kg;wmd;1356620;1222371;1191024;1153109;929909
BOL068;Bolivia;Me.Ta;Tantalum;t;wmd;0;2.4569024550000003;14.74141473;8.189674850000001;6.55173988
BOL068;Bolivia;Me.Sn;Tin;t;wmd;17460;18386;17251;17147;14709
BOL068;Bolivia;Me.W;Tungsten;t;wmd;1109;1015;1366;1064;1347
BOL068;Bolivia;Me.Zn;Zinc;t;wmd;486955;527206;519630;527521;358411
BRA076;Brazil;M.asb;Asbestos;t;wmd;177800;129094;111439;12205;77057
BRA076;Brazil;M.bar;Barite;t;wmd;12133;16275;9377;9223;1849
BRA076;Brazil;O.Al;Bauxite;t;wmd;39244200;38072100;32377000;31937900;32897800
BRA076;Brazil;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;448004;616929;500000;403763;217055
BRA076;Brazil;Me.Cd;Cadmium;t;wmd;200;180;300;450;100
BRA076;Brazil;O.Cr;Chromium ore;t;bgs;500000;542989;567300;511100;500000
BRA076;Brazil;Me.Co;Cobalt;t;bgs;852;185;8;0;0
BRA076;Brazil;Me.Cu;Copper;t;wmd;338921;384542;385762;363268;352635
BRA076;Brazil;Nm.dig;Diamonds, gems;ct;wmd;60560;84115;82810;53240;43200
BRA076;Brazil;Nm.dii;Diamonds, industrial;ct;wmd;122955;170780;168130;108085;87700
BRA076;Brazil;M.fel;Feldspar;t;bgs;486684;400000;400000;400000;400000
BRA076;Brazil;O.Fe;Ferrous ore;t;bgs;424200000;453703525;450393000;396841000;388000000
BRA076;Brazil;M.flu;Fluorspar;t;bgs;18260;24000;26000;18000;18000
BRA076;Brazil;Me.Au;Gold;Kg;wmd;94153;79717;85198;89988;98922
BRA076;Brazil;M.gra;Graphite, natural;t;bgs;61687;90000;95000;96000;95000
BRA076;Brazil;M.gya;Gypsum and anhydrite;t;bgs;3471328;3400000;3200000;3000000;3200000
BRA076;Brazil;O.FeTiO3;Ilmenite;t;bgs;66500;50000;66000;70000;70000
BRA076;Brazil;Me.In;Indium;t;wmd;5;5;0;0;0
BRA076;Brazil;M.kao;Kaolin;t;bgs;1737000;1771000;1800000;1476802;1239591
BRA076;Brazil;Me.Pb;Lead;t;wmd;9015;6959;7277;5715;5351
BRA076;Brazil;O.Li;Lithium ore;t;bgs;8804;9000;9000;9000;9000
BRA076;Brazil;O.MgCO3;Magnesite;t;bgs;1652424;2034000;1700000;1700000;1700000
BRA076;Brazil;O.Mn;Manganese ore;t;bgs;2880718;3273029;3189000;3726000;2385000
BRA076;Brazil;M.mic;Mica;t;bgs;10800;10100;11000;11000;11000
BRA076;Brazil;Me.Mo;Molybdenum;t;bgs;200;200;200;200;200
BRA076;Brazil;Me.Ni;Nickel;t;wmd;78626;68803;65254;55744;77133
BRA076;Brazil;Me.Nb;Niobium;t;wmd;56391.197215152;58136.710602528;69592.647083232;88932.40414176;59818.610966976
BRA076;Brazil;O.P;Phosphate rock;t;bgs;5850000;6033000;5740000;5300000;5500000
BRA076;Brazil;Me.K2O;Potassium oxide;t;wmd;316429;306296;201181;269300;276600
BRA076;Brazil;M.sal;Salt nec;t;bgs;7510314;7500000;7500000;7500000;7500000
BRA076;Brazil;Me.Ag;Silver;Kg;bgs;48793;41900;49600;50000;50000
BRA076;Brazil;M.tal;Talc (steatite, soapstone, pyrophyllite);t;bgs;657000;850000;660000;650000;650000
BRA076;Brazil;Me.Ta;Tantalum;t;wmd;191.63839149;221.12122095;282.543782325;278.4489449;245.6902455
BRA076;Brazil;Me.Sn;Tin;t;bgs;26000;18000;17100;17000;16893
BRA076;Brazil;Me.W;Tungsten;t;bgs;323;411;400;400;400
BRA076;Brazil;Me.U;Uranium;t;wmd;0;0;0;0;16.960030800000002
BRA076;Brazil;Me.V;Vanadium;t;wmd;3665.726624656;3808.008801102;3675.809613538;3946.369815205;4247.178983518
BRA076;Brazil;M.ver;Vermiculite;t;wmd;53330;50050;56708;47581;58821
BRA076;Brazil;Me.Zn;Zinc;t;bgs;158200;156500;169800;163400;174500
BRA076;Brazil;O.Zr;Zircon;t;bgs;21302;21000;20000;20000;20000
BRA076;Brazil;Me.reo;;t;wmd;5800;3600;1900;1200;708
BTN064;Bhutan;O.Fe;Ferrous ore;t;bgs;28065;32974;37843;36864;14734
BTN064;Bhutan;M.gya;Gypsum and anhydrite;t;wmd;317597;328128;461128;490596;331050
BTN064;Bhutan;M.tal;Talc (steatite, soapstone, pyrophyllite);t;wmd;2261;1293;2042;1375;972
BWA072;Botswana;Me.Co;Cobalt;t;wmd;281;0;0;0;0
BWA072;Botswana;Me.Cu;Copper;t;wmd;13120;1239;1462;0;0
BWA072;Botswana;Nm.dig;Diamonds, gems;ct;wmd;14623700;16058700;17064600;16580900;11807600
BWA072;Botswana;Nm.dii;Diamonds, industrial;ct;wmd;6267300;6882300;7313400;7106100;5060400
BWA072;Botswana;Me.Au;Gold;Kg;wmd;833;913;1105;943;851
BWA072;Botswana;Me.Ni;Nickel;t;wmd;16878;0;0;0;0
BWA072;Botswana;Me.Pd;Palladium;Kg;wmd;0;0;0;0;
BWA072;Botswana;Me.Pt;Platinum;Kg;wmd;0;0;0;0;
BWA072;Botswana;M.sal;Salt nec;t;wmd;399837;369613;367988;383779;
BWA072;Botswana;Me.Ag;Silver;Kg;wmd;0;0;0;0;
BWA072;Botswana;M.soc;Sodium carbonate, natural;t;bgs;280457;226667;297237;269119;238476
CAF140;Central African Republic;Nm.dig;Diamonds, gems;ct;wmd;9973;47840;10020;18880;40320
CAF140;Central African Republic;Nm.dii;Diamonds, industrial;ct;wmd;2493;11960;2505;4720;10080
CAF140;Central African Republic;Me.Au;Gold;Kg;wmd;33;118;142;359;401
CAN124;Canada;Me.Sb;Antimony;t;wmd;0;1;5;2;2
CAN124;Canada;M.bar;Barite;t;bgs;32000;32000;32000;30000;30000
CAN124;Canada;M.ben;Bentonite, sepiolite and attapulgite;t;bgs;468;0;0;0;
CAN124;Canada;Me.Bi;Bismuth;t;wmd;3;4;5;4;4
CAN124;Canada;Me.Cd;Cadmium;t;wmd;2305;1802;1857;1803;1800
CAN124;Canada;Me.Co;Cobalt;t;wmd;7148;6058;5608;5132;3693
CAN124;Canada;Me.Cu;Copper;t;wmd;695508;597194;548011;543609;475898
CAN124;Canada;Nm.dig;Diamonds, gems;ct;wmd;13315319;23198761;22789001;17560210;15035711
CAN124;Canada;O.Fe;Ferrous ore;t;bgs;48999000;51836000;52358000;59013000;60059572
CAN124;Canada;M.flu;Fluorspar;t;wmd;;0;20000;80000;50000
CAN124;Canada;Me.Au;Gold;Kg;wmd;163923;178568;194155;190542;182352
CAN124;Canada;M.gra;Graphite, natural;t;bgs;16000;14000;11000;11000;8841
CAN124;Canada;M.gya;Gypsum and anhydrite;t;wmd;1678573;3001390;3240451;2444963;2915270
CAN124;Canada;O.FeTiO3;Ilmenite;t;bgs;1800000;2300000;2000000;2100000;1900000
CAN124;Canada;Me.In;Indium;t;wmd;71;67;58;61;63
CAN124;Canada;Me.Pb;Lead;t;bgs;12020;20477;17874;22824;4000
CAN124;Canada;O.Li;Lithium ore;t;bgs;0;1100;140000;9000;0
CAN124;Canada;O.MgCO3;Magnesite;t;wmd;150000;150000;150000;150000;150000
CAN124;Canada;M.mic;Mica;t;bgs;22000;22000;21000;21000;15000
CAN124;Canada;Me.Mo;Molybdenum;t;wmd;2783;4765;5048;4385;2671
CAN124;Canada;O.nep;Nepheline syenite;t;bgs;475000;632000;549000;506000;506000
CAN124;Canada;Me.Ni;Nickel;t;wmd;235034;214302;177867;193057;167243
CAN124;Canada;Me.Nb;Niobium;t;wmd;4263.470624592;4880.027616048;5382.6404016;4753.5006144;4473.8829312
CAN124;Canada;Me.Pd;Palladium;Kg;wmd;21200;19140;20880;23340;21430
CAN124;Canada;Me.Pt;Platinum;Kg;wmd;9700;6850;7460;8340;8360
CAN124;Canada;Me.K2O;Potassium oxide;t;wmd;10789662;12562695;14023931;12643318;13881665
CAN124;Canada;Me.Rh;Rhodium;Kg;wmd;650;600;750;830;730
CAN124;Canada;M.sal;Salt nec;t;wmd;10252161;11423624;10713206;11942282;
CAN124;Canada;Me.Se;Selenium;t;wmd;175;72;85;102;102
CAN124;Canada;Me.Ag;Silver;Kg;wmd;398509;392788;403589;357422;289871
CAN124;Canada;M.tal;Talc (steatite, soapstone, pyrophyllite);t;wmd;199000;215000;279000;243000;153293
CAN124;Canada;Me.Te;Tellurium;t;wmd;18;18;25;13;23
CAN124;Canada;Me.W;Tungsten;t;wmd;0;0;0;0;
CAN124;Canada;Me.U;Uranium;t;wmd;14132.793665640002;12206.13416676;6974.812666500001;6979.0526742;4084.8234181800003
CAN124;Canada;Me.Zn;Zinc;t;wmd;321272;346776;304964;323000;210707
CHE756;Switzerland;M.crs;Crushed stone;t;bgs;2324800;2194123;2410000;2270000;2390000
CHE756;Switzerland;M.gya;Gypsum and anhydrite;t;wmd;340000;330000;330000;330000;330000
CHE756;Switzerland;M.sal;Salt nec;t;wmd;447216;448509;530414;477325;
CHE756;Switzerland;M.sag;Sand and gravel;t;bgs;36630000;35640000;35160000;35140000;34550000
CHL152;Chile;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;1288;1584;525;395;170
CHL152;Chile;M.bor;Borate minerals;t;wmd;558854;607076;398411;352255;
CHL152;Chile;Me.Cu;Copper;t;wmd;5552600;5503500;5831600;5787400;5733100
CHL152;Chile;M.fel;Feldspar;t;wmd;6352;4421;2789;55;329
CHL152;Chile;O.Fe;Ferrous ore;t;bgs;14620000;15426000;14013000;13137000;15553000
CHL152;Chile;Me.Au;Gold;Kg;wmd;46333;37911;37066;38455;33895
CHL152;Chile;M.gya;Gypsum and anhydrite;t;wmd;934033;1157466;909191;977397;910310
CHL152;Chile;M.iod;Iodine;Kg;bgs;18444000;17976000;20216000;20826000;21941000
CHL152;Chile;M.kao;Kaolin;t;wmd;60000;60000;88262;34801;38789
CHL152;Chile;Me.Pb;Lead;t;wmd;1110;1562;712;7;1386
CHL152;Chile;O.Li;Lithium ore;t;bgs;78182;81378;97323;112607;124602
CHL152;Chile;Me.Hg;Mercury;t;wmd;2;5;3;0;0
CHL152;Chile;Me.Mo;Molybdenum;t;wmd;55647;62746;60705;54759;59381
CHL152;Chile;M.per;Perlite;t;wmd;5500;4210;5020;4700;0
CHL152;Chile;O.P;Phosphate rock;t;bgs;6205;4238;4154;3405;2091
CHL152;Chile;Me.K2O;Potassium oxide;t;wmd;1303840;1238630;991180;683540;966680
CHL152;Chile;Me.Re;Rhenium;Kg;wmd;22542;20451;26052;24003;14549
CHL152;Chile;M.sal;Salt nec;t;wmd;8139914;7440741;10012105;10476823;
CHL152;Chile;Me.Ag;Silver;Kg;wmd;1501436;1318582;1370237;1309321;1575794
CHL152;Chile;Me.Zn;Zinc;t;wmd;42870;29008;26810;5620;28662
CHN156;China;Me.Sb;Antimony;t;wmd;103620;97683;70396;68422;60995
CHN156;China;Me.As;Arsenic;t;wmd;25000;25000;24000;24000;24000
CHN156;China;M.asb;Asbestos;t;bgs;191632;124723;125000;150000;100000
CHN156;China;M.bar;Barite;t;wmd;2771100;3100000;2900000;2900000;2500000
CHN156;China;O.Al;Bauxite;t;wmd;66157700;68390000;70751000;75000000;70000000
CHN156;China;M.ben;Bentonite, sepiolite and attapulgite;t;wmd;5600000;5600000;5600000;5600000;5600000
CHN156;China;O.Be;Beryl;t;bgs;1200;1200;1200;1800;1800
CHN156;China;Me.Bi;Bismuth;t;bgs;1672;1748;1804;1650;1650
CHN156;China;M.bro;Bromine;Kg;bgs;57600000;60000000;60000000;64000000;63000000
CHN156;China;Me.Cd;Cadmium;t;bgs;8222;8411;10349;10300;10300
CHN156;China;O.Cr;Chromium ore;t;bgs;25444;30000;30000;30000;30000
CHN156;China;Me.Co;Cobalt;t;bgs;9293;10237;2241;2000;2500
CHN156;China;Me.Cu;Copper;t;wmd;1851000;1706400;1618480;1683450;1718940
CHN156;China;Nm.dig;Diamonds, gems;ct;wmd;127;230;99;51;21
