"AlphaNumISO","Year","CCC","UsedValue"
"ESP724",1977,"A.2.1.Fe",7375
"FIN246",1977,"A.2.1.Fe",1002
"FRA250",1977,"A.2.1.Fe",36630
"GBR826",1977,"A.2.1.Fe",3745
"GRC300",1977,"A.2.1.Fe",2050
"GTM320",1977,"A.2.1.Fe",0
"HKG344",1977,"A.2.1.Fe",0
"HUN348",1977,"A.2.1.Fe",525
"IDN360",1977,"A.2.1.Fe",312
"IND356",1977,"A.2.1.Fe",42598
"IRN364",1977,"A.2.1.Fe",1100
"IRQ368",1977,"A.2.1.Fe",0
"ITA380",1977,"A.2.1.Fe",478
"JPN392",1977,"A.2.1.Fe",686
"KAZ398",1977,"A.2.1.Fe",0
"KEN404",1977,"A.2.1.Fe",0
"KOR410",1977,"A.2.1.Fe",791
"LBR430",1977,"A.2.1.Fe",17384
"LUX442",1977,"A.2.1.Fe",1548
"MAR504",1977,"A.2.1.Fe",407
"MEX484",1977,"A.2.1.Fe",5381
"MKD807",1977,"A.2.1.Fe",0
"MLI466",1977,"A.2.1.Fe",0
"MNG496",1977,"A.2.1.Fe",0
"MRT478",1977,"A.2.1.Fe",9794
"MYS458",1977,"A.2.1.Fe",330
"NGA566",1977,"A.2.1.Fe",0
"NOR578",1977,"A.2.1.Fe",3635
"NZL554",1977,"A.2.1.Fe",2968
"PAK586",1977,"A.2.1.Fe",0
"PER604",1977,"A.2.1.Fe",6284
"PHL608",1977,"A.2.1.Fe",0
"POL616",1977,"A.2.1.Fe",659
"PRK408",1977,"A.2.1.Fe",6900
"PRT620",1977,"A.2.1.Fe",53
"ROU642",1977,"A.2.1.Fe",2467
"RUS643",1977,"A.2.1.Fe",0
"SCG891",1977,"A.2.1.Fe",0
"SDN736",1977,"A.2.1.Fe",0
"SLE694",1977,"A.2.1.Fe",0
"SUN810",1977,"A.2.1.Fe",242047
"SVK703",1977,"A.2.1.Fe",0
"SWE752",1977,"A.2.1.Fe",24839
"SWZ748",1977,"A.2.1.Fe",1441
"THA764",1977,"A.2.1.Fe",63
"TUN788",1977,"A.2.1.Fe",344
"TUR792",1977,"A.2.1.Fe",3470
"UGA800",1977,"A.2.1.Fe",0
"UKR804",1977,"A.2.1.Fe",0
"URY858",1977,"A.2.1.Fe",0
"USA840",1977,"A.2.1.Fe",56645
"VEN862",1977,"A.2.1.Fe",13683
"VNM704",1977,"A.2.1.Fe",0
