Country	ISOAlpha3	ISONum3	AlphaNumISO	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Cyprus	CYP	196	CYP196	14.6735366	16.1087374	15.1262498	22.49286555	15.3131177	7.4347593	14.9334737	15.2597801	20.84298335	25.67566205	29.10537905	27.25036815	28.17987395	27.7953454	28.0986584	29.7492888	26.5858508	18.4625504	17.35505	27.7459	26.1564992	37.9773992	34.8398996	35.54635	17.65484965	24.61873065	23.536032	13.2583946	37.3265365	35.31296995	43.2088821	48.14278535	50.54400905	65.71684535	78.172946	79.68166595	77.9411624	92.0624578	100.527663	72.10865215	67.40798035	61.7498885
Czech Republic	CZE	203	CZE203																								182.5688248	166.820076	181.7785792	196.5797232	201.9662672	177.6549024	167.0357596	163.6384549	170.7410345	197.5557278	204.4554884	224.1230768	229.3339181	243.2463313	264.9536634	264.5862145	209.2120342	183.5657346	204.35503
Czechoslovakia	CSK	200	CSK200	370.8635	398.6365	403.091	419.909	449.2725	466.2275	478.591	488.4545	511.2725	513.9545	528.409	533.409	517.318	526	527.591	513.6365	509.091	519.5455	548.708	544.4	510.75	414.95	425																			
Denmark	DNK	208	DNK208	122.7322465	125.9027184	132.3461606	149.6923112	116.1140269	100.7263246	111.659946	111.5268224	115.6274785	111.6074512	81.4206865	62.2243268	63.5676385	63.151884	65.2491292	73.9195314	87.9712088	81.6737468	71.7902512	75.2064256	73.152868	65.8079528	57.6485952	92.6972416	97.0919264	105.3032816	107.95896	84.477776	78.49186	54.44183485	51.74696575	49.78500035	48.1322558	48.24472355	62.41933715	55.5190111	58.7989229	65.38258015	95.0742259	64.55999955	54.5754275	67.25254665
Djibouti	DJI	262	DJI262											1.1678363	1.1500852		1.024047	1.6457872	1.457782	0.9670782	1.401703	1.44001265	1.21154945	1.39945655	1.8715814										0	0	0	0	0	0	0	0	1.4851637	0	0
Dominica	DMA	212	DMA212								0.07725	0.13825	0.006258	0.3701058	0.4732322	0.4536785	0.4341248	0.5498624	0.66345	0.6725531	0.7188062	0.85845	1.2944498	1.075323288	0.856146775	0.636970263	0.41779375	0.66848505	1.1271332	1.0058143	0.9370998	0.9814364	1.025773	1.47755065	1.52180215	1.4804352	1.7605351	1.5929803	1.71419925	1.3262	1.0347302	1.2611225	1.2672509	0.859929533	0.452608167
Dominican Republic	DOM	214	DOM214	24.682	29.86347855	34.6038773	29.73816085	31.51893445	30.08989615	36.32737895	49.0446676	43.52484815	43.1379294	48.89090905	42.21761525	43.90769785	54.84368335	55.4606991	47.6505	53.332	54.5431299	74.70225	79.99607235	52.9963947	61.74671705	68.2470394	63.54736175	65.1476841	72.64800645	82.09966465	91.7377919	94.0618396	146.8858873	124.709935	136.5839827	246.1901149	213.6853761	188.7158948	186.9585466	179.9296713	163.1282188	174.5051296	133.6045554	153.8050066	138.5931432
DR Congo	COD	180	COD180	20.89773965	22.818	23.28521605	25.5087617	26.4294868	29.46171415	31.05783185	23.14613215	22.39298415	22.5455	22.182	20.4545	27.091	25.682	26.7725	22.5780081	20.60206935	24.6365	24.766	23	23.05	12.5	8.7	7.45	2.5	11.75	12.05	6.25	6.7	7.95	8.45	9.525	11.775	16.55	20.15	25.55	26.5	26.5	20.55	23.015	24.485	22.89
Ecuador	ECU	218	ECU218	16.8113749	18.9120906	19.4130944	27.26480335	29.0809712	37.4187504	41.590256	46.7609656	57.5324328	87.140628	118.0213232	80.9239528	81.0583198	73.6915718	88.89605	98.9663245	104.9788288	108.0716003	110.4119813	113.0676887	113.0516558	115.5148954	112.7514353	105.0303554	111.5430043	138.9754452	154.8971	145.024115	134.6176556	115.1630979	139.9767546	152.1544329	158.6840049	160.8217706	162.6823775	169.0954368	214.3119793	238.5223196	265.8883523	288.0779351	269.9841355	315.9732789
Egypt	EGY	818	EGY818	167.3204448	128.3767687	151.6404245	153.0948094	154.5509486	180.48912	197.3527252	224.2848248	220.8242128	276.5508456	294.1418528	386.6394296	502.3911984	622.497118	714.1112136	728.0109054	716.4353632	629.2819192	607.5042125	644.1614607	715.0301546	821.1783714	844.3466605	795.4211497	866.4865324	944.3863912	1046.53969	1094.792873	1223.227632	1425.027066	1207.15	1311.205543	1275.496544	1320.495631	1363.748515	1509.08351	1780.074825	1925.743677	2286.482823	2337.713269	2363.886416	2146.415717
El Salvador	SLV	222	SLV222	8.3655353	9.3626732	10.9822391	12.13783095	14.7502438	17.184995	16.48328955	19.53029445	20.61734325	18.75380485	21.46004425	20.0326162	18.60382555	19.52304195	19.121338	21.6811627	22.4118544	30.52405435	31.27570955	31.09437995	31.91232885	33.5473994	21.85587535	42.93201255	44.1460494	48.20513695	49.4066553	50.8508194	51.092591	55.03912545	53.8300803	61.84063285	65.8010106	70.16168355	57.75531205	56.55142905	60.86338075	59.0509808	55.55740985	59.76677885	65.66189145	65.93846465
Equatorial Guinea	GNQ	226	GNQ226																																0	0	0	0	0	0	0	0	0	0	0
Eritrea	ERI	232	ERI232																									2.25	2.5	2.35	2.5	2.25	2.25	2.25	1.75	9.92690615	1.75	1.75	1.75	1.25	2.25	2.25	2.25	2.25	1.15
Estonia	EST	233	EST233																							30	25	20.1	0	0	0	0	0	0	0	7.6990668	10.69954635	15.6099496	19.47325775	27.29556145	17.6806375	1.26178945	7.7444731	3.02362585	0
